"whichDataset","sentiment","text"
"Obama",1,"On this National Gun Violence Awareness Day, let your voice be heard and show your commitment to reducing gun viole‰Û_ https://t.co/S7dth6Ywb0"
"Obama",3,"Forever grateful for the service and sacrifice of all who fought to protect our freedoms and defend this country we‰Û_ https://t.co/BwRS0onlOL"
"Obama",2,"Good to see my friend Prince Harry in London to discuss the work of our foundations &amp; offer condolences to victims‰Û_ https://t.co/f1U8It8AmE"
"Obama",2,"Through faith, love, and resolve the character of the people of Manchester has shown itself.  Our thoughts &amp; prayer‰Û_ https://t.co/xyMer891Zo"
"Obama",-1,"Our hearts go out to those killed and wounded in Manchester. Americans will always stand shoulder to shoulder with the people of the UK."
"Obama",1,"Excited to hear from Sierra, Imani, Filiz, and Benedikt who are making a difference at home and abroad. See you in‰Û_ https://t.co/bF1kB1GvxC"
"Obama",3,"Happy Mother's Day to my love and partner on this journey @MichelleObama, and to all the wonderful, hardworking mothers out there."
"Obama",0,"We're rolling up our sleeves again, back where it all started. Join us at https://t.co/GYkEOK8EuT. https://t.co/UlyvNrQvZR"
"Obama",2,"Well said, Jimmy. That's exactly why we fought so hard for the ACA, and why we need to protect it for kids like Bil‰Û_ https://t.co/jB3LXT94Ok"
"Obama",1,"RT @ObamaFoundation: It‰Ûªs a beautiful day on the South Side. https://t.co/PtoaFbww0s"
"Obama",-2,"My heart goes out to the victims and their families in London. No act of terror can shake the strength and resilience of our British ally."
"Obama",1,"Chuck Berry rolled over everyone who came before him ‰ÛÒ and turned up everyone who came after.  We'll miss you, Chuck.  Be good."
"Obama",0,"On International Women‰Ûªs Day, @MichelleObama and I are inspired by all of you who embrace your power to drive chang‰Û_ https://t.co/Er9mIQlmgr"
"Obama",2,"RT @ObamaFoundation: Courage comes in many forms. Who in your local community or neighborhood leads by example? #ProfileInCourage https://t‰Û_"
"Obama",0,"Humbled to be recognized by a family with a legacy of service. Who's your #ProfileInCourage? Tell me about them:‰Û_ https://t.co/25Ohhab8Xn"
"Obama",0,"We asked. You answered. https://t.co/mAJvko6VqR"
"Obama",1,"Happy Valentine‰Ûªs Day, @michelleobama! Almost 28 years with you, but it always feels new. https://t.co/O0UhJWoqGN"
"Obama",2,"I read letters like these every single day. It was one of the best parts of the job ‰ÛÒ hearing from you. https://t.co/so1luBcszV"
"Obama",0,"RT @ObamaFoundation: Add your voice: https://t.co/mA9MSHmi7o https://t.co/Uf7oEvkZF3"
"Obama",0,"In the meantime, I want to hear what you're thinking about the road ahead. So share your ideas with me here: https://t.co/GYkEOK8EuT"
"Obama",1,"Hi everybody! Back to the original handle. Is this thing still on? Michelle and I are off on a quick vacation, then we‰Ûªll get back to work."
"Obama",1,"Tonight, President Obama reflects on eight years of progress. Watch the #FarewellAddress at 9 pm ET: https://t.co/ZnwTsg155B #ObamaFarewell"
"Obama",2,"RT @OFA: ""Thanks to the Affordable Care Act, your coverage is better today than it was before.""  Watch the weekly address: https://t.co/Pfk‰Û_"
"Obama",1,"In the weekly address, President Obama discusses what #Obamacare has done to improve health care. https://t.co/VdQlyrSZhx"
"Obama",2,"Let's keep working to keep our economy on a better, stronger course. https://t.co/bV2BVjyj7a"
"Obama",0,"The landmark #ParisAgreement enters into force today‰ÛÓwe must keep up the momentum to #ActOnClimate. https://t.co/Cyw5Udaoro"
"Obama",0,"The economy added 161,000 jobs in October, and wages are up 2.8 percent over the past year. https://t.co/pJxjgLnjCt #JobsReport"
"Obama",1,"There are a lot of plans out there. Check your options and lock in the one that's best for you: https://t.co/buFY9ozDz4 #GetCovered"
"Obama",1,"The positive impact of #Obamacare is undeniable, but there's one big factor holding many states back: https://t.co/7XebIdRX34"
"Obama",1,"RT @POTUS: It happened: @Cubs win World Series. That's change even this South Sider can believe in. Want to come to the White House before‰Û_"
"Obama",0,"Tens of millions of Americans have benefited from #Obamacare. Make sure you're one of them. #GetCovered https://t.co/e1KoXcPtpU"
"Obama",1,"Thanks to #Obamacare, quality health care is available to everyone. The marketplace is now open‰ÛÓmake sure you and y‰Û_ https://t.co/89gl6pzMGD"
"Obama",0,"RT @lacasablanca: La tÌ_pica Latina tarda 22 meses en ganar lo que un hombre blanco gana en 12 meses. Tenemos que cerrar la brecha salarial.‰Û_"
"Obama",2,"RT @WhiteHouse: On #LatinaEqualPay Day, we mark the work that remains to ensure that all Americans receive equal pay for equal work. https:‰Û_"
"Obama",0,"Community organizing never goes out of style. Shop now: https://t.co/LXEbQdKLLT https://t.co/E56ofoU36i"
"Obama",-1,"With #Obamacare, people can focus on treatment for pre-existing conditions without the fear of coverage being cappe‰Û_ https://t.co/jvdFY87XBu"
"Obama",-1,"The Obamacare marketplace is now open. If you're uninsured, now is the time to shop for a plan and #GetCovered.‰Û_ https://t.co/Spjlga4eTT"
"Obama",0,"RT @FLOTUS: Open enrollment starts tomorrow! Check out your options at https://t.co/dg57hwz5of and share your #GetCovered story. https://t.‰Û_"
"Obama",0,"Lions and Tiggers and bears! Oh my! #HappyHalloween https://t.co/iU4fjBhi0Y"
"Obama",0,"Usted y su familia merecen la tranquilidad de saber que estÌÁn cubiertos. El mercado de seguros abre maÌ±ana. https://t.co/9iRCkLRGZD"
"Obama",2,"Speak up in support of quality, affordable health care for all. https://t.co/rGsSguMxvj"
"Obama",-1,"There's nothing to be scared of when searching for health insurance. Three in four people can #GetCovered for less‰Û_ https://t.co/BUmnRO9B3E"
"Obama",1,"Open enrollment begins tomorrow‰ÛÓmake sure you and your loved ones #GetCovered. https://t.co/2aak7Bt0s3"
"Obama",1,"RT @OFA: Witch plan is best for you? Thanks to Obamacare, even pre-existing conditions can't stop you from comparing your options. #GetCove‰Û_"
"Obama",-1,"Senate leaders' obstruction of our Supreme Court nomination process is unacceptable. Say so: https://t.co/t3pYMO8Fp0 #DoYourJob"
"Obama",1,"Senate leaders should put the common good above politics‰ÛÓthe integrity of our nation's highest court depends on it.‰Û_ https://t.co/iRVCEl1pzf"
"Obama",0,"Don't ghost on your health and well-being‰ÛÓyour chance to #GetCovered is coming up. Open enrollment starts November‰Û_ https://t.co/qwNLazuPiz"
"Obama",-2,"Climate change is happening now. Denial is dangerous. https://t.co/0Nlf8Fst4u"
"Obama",1,"If you're willing to work hard and play by the rules, you should be able to get ahead. https://t.co/394hdJttgO"
"Obama",1,"President Obama lays out just a few of the ways in which #Obamacare has helped millions of Americans. https://t.co/qeqHRLz0ID"
"Obama",0,"New report: Renewable energy installations are beating fossil fuel installations for the first time. https://t.co/MMhIdu4jzt #ActOnClimate"
"Obama",4,"Obamacare has helped millions of Americans gain the peace of mind that comes with coverage. Show your support: https://t.co/NfrG7DHL5C"
"Obama",2,"This is what happens when we focus on building an economy that works for everyone, not just those at the top. https://t.co/op3Z74rPeI"
"Obama",0,"No one's too wrapped up in pre-existing conditions to #GetCovered.  Thanks to Obamacare, you can find a plan that m‰Û_ https://t.co/C7H9TZdxeU"
"Obama",3,"Help protect the progress we've made in helping millions of Americans get covered. Add your name now: https://t.co/HQSZKPl1eH"
"Obama",0,"DYK: Most people can find a plan for less than $75 per month. Open enrollment starts on November 1. #GetCovered https://t.co/9RGG5Pr4mb"
"Obama",0,"Women, the sick, survivors‰ÛÓthey all deserve fair treatment in our health care system. #Obamacare https://t.co/G948HN7pzV"
"Obama",0,"Don't get tripped up by misinformation. Join the @OFA Truth Team today: https://t.co/wJZj1QCxXm https://t.co/vwwDgFHq6A"
"Obama",0,"RT @SecBurwell: Most people shopping on @HealthCareGov will again find plans with premiums of less than $75/month, thanks to financial assi‰Û_"
"Obama",2,"Be proud of the progress we've made together‰ÛÓwear the mark of this movement. https://t.co/fYf2O9WAwG https://t.co/1Z4yJmYh4E"
"Obama",2,"Strong policies that help working families get ahead are good for our economy. https://t.co/QRRhibjZCl"
"Obama",-1,"The four-week average of jobless claims fell to the lowest level since 1973‰ÛÓa sign of a healthy labor market. https://t.co/Lv7DnRM2DY"
"Obama",-1,"Since 2010, America's uninsured rate has been cut in half. Help build on that progress‰ÛÓjoin Team #Obamacare today: https://t.co/MhIICuE17A"
"Obama",1,"RT @OFA: It's working. It's saving lives. And we're not going back. Retweet to show your support. https://t.co/YOBeMMSYP8"
"Obama",4,"Health care is a right, not a privilege‰ÛÓand #Obamacare works to protect that right for millions of Americans. https://t.co/B7fO8rhggW"
"Obama",0,"Don't get tripped up by misinformation. Join the @OFA Truth Team today: https://t.co/09BpA6F9Ne https://t.co/Nxgp87o4iq"
"Obama",0,"Being able to stay on a parent's plan enables millions of young adults to make choices about their future with the‰Û_ https://t.co/1lSzxCHZVf"
"Obama",0,"""Because of Obamacare, another 20 million Americans now know the financial security of health insurance."" https://t.co/eNd6J8bMxm"
"Obama",2,"Stand up for the law that's helped 20 million more Americans gain health coverage. Join Team @Obamacare today: https://t.co/XiNXrgnPoF"
"Obama",2,"There's still more work to do, but let's celebrate how far we've come. https://t.co/kUVWn68kJw"
"Obama",2,"LIVE: President Obama is in Miami talking about the progress made possible by the Affordable Care Act. https://t.co/7FsQXut07O"
"Obama",0,"RT @WhiteHouse: Each day, @POTUS reads 10 letters from Americans. Today, we're sharing some of the letters written about #ACA: https://t.co‰Û_"
"Obama",2,"Tune in at 1:55 p.m. ET to watch President Obama speak about the successes of the Affordable Care Act. https://t.co/7FsQXut07O"
"Obama",0,"There's a lot of misinformation floating around. Make sure you've got the facts‰ÛÓjoin the @OFA Truth Team:‰Û_ https://t.co/SpfRFK5LWq"
"Obama",0,"From coast to coast, editorial boards are denouncing Senate obstructionism. Take a look: https://t.co/vqDr2bBiVr #DoYourJob"
"Obama",1,"Our Supreme Court has been short a justice for far too long. #DoYourJob, Senate leaders. https://t.co/yJlejtHjr0"
"Obama",-1,"RT @SecBurwell: Today, 20M more Americans have coverage thanks to the #ACA. Our uninsured rate is the lowest in our nation‰Ûªs history. Lowes‰Û_"
"Obama",1,"The need for a ninth justice is undeniably clear. #DoYourJob https://t.co/L1EBgNbh3Q"
"Obama",1,"We can't afford to let this be the new normal. https://t.co/nJzyfz2Zlw #ActOnClimate"
"Obama",-2,"Denying climate change is dangerous. Join @OFA supporters in standing up for bold action now: https://t.co/JZnvlb080l #ActOnClimate"
"Obama",1,"Climate change is real, but so is the progress we're making to #ActOnClimate. Let's keep it up. https://t.co/GOFKXQblGJ"
"Obama",0,"This is just the latest step forward in the push to #ActOnClimate. https://t.co/UDInkidKkP"
"Obama",0,"Read why @FLOTUS is fighting to ensure that girls everywhere have access to quality education. https://t.co/xleq3HHSZt #LetGirlsLearn"
"Obama",0,"Wildfires in the next few decades could be ""unrecognizable"" to previous generations‰ÛÓbecause of climate change: https://t.co/vM3xM6mCf3"
"Obama",2,"Senate leaders are blocking the Supreme Court nomination for their own political gain‰ÛÓdon't be silent: https://t.co/OMdTVim0TC #DoYourJob"
"Obama",1,"RT @WhiteHouse: ""Nobody should be priced out of a higher education."" ‰ÛÓ@POTUS on the progress we've made: https://t.co/4YohVv7Qea https://t.‰Û_"
"Obama",1,"RT @WHLive: Watch as @POTUS speaks on the progress made to ensure every student has the opportunity to realize their potential: https://t.c‰Û_"
"Obama",2,"Senate leaders have recognized Judge Garland's impeccable credentials in the past. He deserves a fair hearing and a‰Û_ https://t.co/w9bPtpSmm7"
"Obama",1,"We need a fully functional Supreme Court. Editorial boards across the country agree: https://t.co/BkLrNaTtzN #DoYourJob"
"Obama",0,"The American Bar Association gave Judge Garland its highest rating. Senate leaders: #DoYourJob and fill the #SCOTUS‰Û_ https://t.co/iTVTqGIUvV"
"Obama",-2,"Denying climate change is dangerous. Join @OFA supporters in standing up for bold action now: https://t.co/7MDQGYgX2u #ActOnClimate"
"Obama",1,"Cynics, take note: When we #ActOnClimate, we build a stronger future. https://t.co/wHHMdo2ro6"
"Obama",0,"""That‰Ûªs how we will overcome the challenges we face: by unleashing the power of all of us for all of us."" Read more: https://t.co/VxpwLIR4uF"
"Obama",0,"Check out the most recent editorial boards calling on Senate leaders to vote on Judge Garland: https://t.co/hzuhZYevfo #DoYourJob"
"Obama",-1,"Senate leaders have undercut the functionality of the Supreme Court, and that's unacceptable. #DoYourJob https://t.co/5HFXhgTMoP"
"Obama",1,"Senate leaders' political games are handicapping the Supreme Court‰ÛÓand judgeships across the country. https://t.co/PhKOBKXLmS #DoYourJob"
"Obama",1,"RT @WIRED: After eight years in office, @POTUS remains optimistic about the world's future. His essay as WIRED‰Ûªs guest editor: https://t.co‰Û_"
"Obama",0,"LIVE: President Obama is speaking at a reception celebrating #HispanicHeritageMonth. https://t.co/FK0ytbKw1q"
"Obama",3,"RT @WhiteHouse: In honor of #HispanicHeritageMonth, we celebrate the progress that Hispanic Americans have made under @POTUS: https://t.co/‰Û_"
"Obama",2,"Support the bold steps we're taking against climate change. Say you're ready to #ActOnClimate: https://t.co/EtwjaKgYFW"
"Obama",0,"Last week, more than 190 countries reached a landmark deal to reduce carbon pollution from aviation. https://t.co/LRYkXVw3rO #ActOnClimate"
"Obama",0,"Let's leave our children and grandchildren a planet that's healthier than the one we have today. #ActOnClimate https://t.co/mP29bpRdU9"
"Obama",-2,"Climate change's effects are devastating. Denying the science behind it does nothing to help. https://t.co/Rww40wwgD9 #ActOnClimate"
"Obama",0,"""On behalf of Michelle and our family, G‰Ûªmar Chatimah Tovah."" ‰ÛÓPresident Obama #YomKippur"
"Obama",0,"""LGBT individuals deserve to know their country stands beside them."" ‰ÛÓPresident Obama #NationalComingOutDay https://t.co/op7nBzbaod"
"Obama",1,"The Supreme Court must remain above politics. Judge Garland needs a hearing and a vote. #DoYourJob https://t.co/eVSPSIFNpB"
"Obama",1,"Don't stand idly by while Senate leaders continue to block Judge Garland from a fair hearing and vote: https://t.co/TSavHP3mHg #DoYourJob"
"Obama",1,"Judge Garland is just as qualified now as he was in 1997, Senate leaders. It's time to #DoYourJob. https://t.co/j1lEkdMYV6"
"Obama",0,"Dispel misinformation with facts from the @OFA Truth Team. https://t.co/zjexLUJXAC"
"Obama",-1,"The uninsured rate is the lowest it's been in decades, thanks to #Obamacare. Spread the word.‰Û_ https://t.co/ZkN8HVbn3E"
"Obama",0,"Deadline tonight‰ÛÓhelp rein in payday lenders that succeed by targeting vulnerable Americans: https://t.co/7OlpH6OFek #StopTheDebtTrap"
"Obama",1,"The Obama administration and @CFPB are working to protect consumers and #StopTheDebtTrap. https://t.co/UMO01OUkdh"
"Obama",2,"Our economy is on a better, stronger course. https://t.co/yzB6x7CExJ"
"Obama",1,"The economic progress we've made is undeniable‰ÛÓlet's keep it up. https://t.co/gAlfaC1hkI"
"Obama",0,"Check out President Obama's essay in @TheEconomist on the unique challenges the American economy faces. https://t.co/jKJNCrQALL"
"Obama",0,"The economy added 156,000 jobs in September‰ÛÓextending the longest streak of total job growth on record."
"Obama",0,"ICYMI: Read about the historic #ParisAgreement and what it means for the fight to #ActOnClimate. https://t.co/eMefgFZk53"
"Obama",0,"RT @WhiteHouse: This is #SXSL: The White House festival of ideas, art, and action. Take a peek inside: https://t.co/BbvvMEaQTF https://t.co‰Û_"
"Obama",1,"The cost of clean energy technology dropped significantly over the last eight years. Get the chart: https://t.co/fuGQMXeRYb #ActOnClimate"
"Obama",1,"This historic step in the fight to #ActOnClimate came faster than anyone predicted. https://t.co/W2rtcNXkI7"
"Obama",1,"""Today is a historic day in the fight to protect our planet for future generations."" ‰ÛÓPresident Obama #ActOnClimate https://t.co/x3dJSCYUcj"
"Obama",0,"LIVE: President Obama is delivering a statement on the Paris Climate Agreement. https://t.co/mNpQ6QyA91"
"Obama",1,"Read from @NYTopinion about why filling the Supreme Court vacancy is crucial for our democracy: https://t.co/zuSWzxSaqW #DoYourJob"
"Obama",3,"Enough is enough. Say it's time for Senate leaders to get to work: https://t.co/2M789YIcBk #DoYourJob"
"Obama",0,"""Everybody cares about their kids, their grandkids, and the kind of world we pass on to them."" ‰ÛÓPresident Obama https://t.co/cfxpSBNWIU"
"Obama",0,"Take what matters with you. https://t.co/E0hXWSu1q3 https://t.co/KJJdkE8DML"
"Obama",2,"We've come a long way, but the fight for fairness and an economy that works for everyone continues. https://t.co/WWRhZHwYWE"
"Obama",0,"RT @NatGeoChannel: Tonight @POTUS will be joined by @LeoDiCaprio for a conversation on combating climate change: https://t.co/yCN9K74Jnj #S‰Û_"
"Obama",0,"Side-by-side for 24 years. Here's to many more. #HappyAnniversary https://t.co/nh8Xfc7IWU"
"Obama",0,"RT @WhiteHouse: Today, @POTUS is bringing something new to the South Lawn. Find out why: https://t.co/JvtZFKpQKZ"
"Obama",0,"Facts matter. Stay informed with the @OFA Truth Team: https://t.co/O8PhOX5jJ3"
"Obama",0,"RT @OFA: ""Since I took office, another ten million private-sector workers have gained paid sick leave."" ‰ÛÓPresident Obama https://t.co/Ud3vq‰Û_"
"Obama",1,"In the weekly address, President Obama discusses why access to paid leave is so important. https://t.co/q9kDEqYs5u #LeadOnLeave"
"Obama",-1,"Parents shouldn't have to choose between a paycheck and taking care of a sick child at home. #LeadOnLeave https://t.co/FF4hTkgOZy"
"Obama",1,"After thirty years in Congress, Senator, this should not be your proudest accomplishment. https://t.co/FwGAJsBCoo‰Û_ https://t.co/86F1fhUWsp"
"Obama",1,"We need a fully functioning Supreme Court. Speak up if you agree it's time for a hearing and a vote: https://t.co/d6nmum1Ut7 #DoYourJob"
"Obama",2,"There has never been a more qualified nominee, Senate leaders. He deserves a fair hearing and a vote. #DoYourJob https://t.co/qtzcY3iwyl"
"Obama",0,"It's the Senate's job to fairly consider Supreme Court nominees. Their refusal to do so is unacceptable: https://t.co/s8FdCa0tq6 #DoYourJob"
"Obama",-2,"""Everybody gets sick."" Check out what President Obama is doing to extend access to paid sick leave: https://t.co/gOAc2HAkQg #LeadOnLeave"
"Obama",1,"RT @ErnestMoniz: THIS is what a #CleanEnergy revolution looks like. New report out today ‰ Õ https://t.co/o13p5fPNDg #ActOnClimate https://t.‰Û_"
"Obama",-1,"Never underestimate the strength and resilience of the American economy. https://t.co/OFTN2FlRtq"
"Obama",-1,"RT @Slate: President Obama answers Slate‰Ûªs questions about his administration‰Ûªs new rule extending paid sick leave: https://t.co/8AdEx431QN‰Û_"
"Obama",1,"The @OFA Truth Team makes it easy to stay informed. Join today: https://t.co/Q0axQYyJY1"
"Obama",0,"This is no accident‰ÛÓwe're making a comeback because together, we've fought hard to support American families. https://t.co/LTk7SiTexP"
"Obama",1,"We're better off than we were eight years ago. https://t.co/OwrTM3V78t"
"Obama",-1,"Household incomes are up, and the poverty rate is down across all demographics. https://t.co/cEIdPJuuvR"
"Obama",-1,"As long as Senate leaders keep refusing to do their jobs, @OFA supporters will continue speaking out against their‰Û_ https://t.co/DkmDKpMhOw"
"Obama",0,"Senate leaders have blocked Judge Garland's hearing for over six months now. Keep pushing: https://t.co/AGrUjJTnST #DoYourJob"
"Obama",3,"Important, tough conversations require solid facts. Get them from the @OFA Truth Team: https://t.co/5YH9zVeayn https://t.co/dD1EPgaA9W"
"Obama",-1,"These are high praises from the American Bar Association‰ÛÓand yet, Senate leaders refuse to even consider Judge Garl‰Û_ https://t.co/ryPFLZDAhY"
"Obama",0,"Senate leaders' unprecedented obstruction of the Supreme Court nomination must end. Your voice matters: https://t.co/yhy8al1FK7 #DoYourJob"
"Obama",0,"The American people are waiting for Senate leaders to do their jobs. https://t.co/LNqAQpxMle"
"Obama",0,"Senate leaders have blocked Judge Garland's hearing for over six months now. Keep pushing: https://t.co/peV6aCYswa #DoYourJob"
"Obama",2,"Senate leaders need to work for the good of the American people, not seek out political points. https://t.co/Tdx3xk6gYi"
"Obama",2,"Watch President Obama and @CEAChair Jason Furman discuss the positive gains the American economy has made. https://t.co/J28Crn3WAP"
"Obama",0,"Here are 16 broken records we shouldn't be proud of. https://t.co/x98dGgEloW"
"Obama",0,"Stay informed. Stay engaged. Speak up. Join the @OFA Truth Team: https://t.co/GVTL4HrTXw"
"Obama",-1,"Another record broken: 16 months in a row of undeniable, record-breaking heat. https://t.co/qMAH7nFf5I #ActOnClimate"
"Obama",1,"Happy #FirstDayofFall. https://t.co/ix02MNuOud"
"Obama",-1,"We can't sit idly by. Climate change is likely to threaten our national security‰ÛÓwe must act now.‰Û_ https://t.co/6QQmpf27W0"
"Obama",1,"Judge Garland is highly qualified for the bench‰ÛÓeven some Senate leaders who are now blocking his hearing have agre‰Û_ https://t.co/D5ScOCikVl"
"Obama",-3,"Senate leaders' blind obstruction of Judge Garland's nomination sets a dangerous precedent. We can't stand idly by. https://t.co/k76I6DCDRI"
"Obama",1,"Enough of the shameless partisanship, Senators. #DoYourJob and fill the Supreme Court vacancy. https://t.co/vIQY0bivo4"
"Obama",1,"Help keep the pressure on Senate leaders to give Judge Garland a fair hearing before their next recess. https://t.co/lkLz4yidaw #DoYourJob"
"Obama",0,"The American Bar Association gave Judge Garland its highest possible rating. He deserves a hearing and a vote.‰Û_ https://t.co/FUVmGKdZgB"
"Obama",2,"""Their right to inherit a healthy planet is a sacred responsibility."" ‰ÛÓPresident Obama #ActOnClimate https://t.co/MYumi6xiIW"
"Obama",1,"Communities are already experiencing the effects of climate change‰ÛÓwe can't afford not to act. Take a look:‰Û_ https://t.co/sEjVzKqhsw"
"Obama",1,"As the #UNGA meets, take a look at the progress we've made thanks to American leadership in the world. https://t.co/b4T0zGccLH"
"Obama",0,"LIVE: President Obama is speaking at the 71st Session of the United Nations General Assembly. https://t.co/J8cm9QquER #UNGA"
"Obama",0,"LIVE: President Obama is delivering a statement in New York. https://t.co/MJUr8C84Wd"
"Obama",0,"President Obama commemorates #HispanicHeritageMonth in an address to @CHCI. https://t.co/oTVX7zOyFD"
"Obama",0,"Senate leaders are putting politics above their basic responsibility to hold a hearing for Judge Garland. #DoYourJob https://t.co/N7vH2ncwmb"
"Obama",1,"Six months is long enough, senators. It's time to #DoYourJob and give Judge Garland a hearing. https://t.co/A2Yedmhuw6"
"Obama",1,"RT @OFA: Friendly reminder for Senate leaders on #ConstitutionDay2016: https://t.co/my5zUWxb6j"
"Obama",0,"The Supreme Court should remain above partisan politics, Senator. https://t.co/DlWud7Rh3K #DoYourJob https://t.co/Wjd96qn9Hf"
"Obama",1,"Progress starts with a conversation. Make sure you have the facts to get yours started: https://t.co/MxWdiJxz4o https://t.co/Q3iP0Jwg1t"
"Obama",2,"When we protect our lands and waters, it helps us protect our climate for future generations. #ActOnClimate https://t.co/8tygZI0TDR"
"Obama",0,"""There is no 'election year' exception in Article II."" Sen. Leahy calls on senators to give Judge Garland a hearing: https://t.co/VjxClMdqUg"
"Obama",0,"President Obama just made history by protecting nearly 5,000 square miles off the New England coast. https://t.co/i8MAFYU60k #OurOcean"
"Obama",0,"LIVE: President Obama is speaking at the 2016 Our Ocean Conference. https://t.co/ALK46jhUpw #OurOcean"
"Obama",-1,"RT @WhiteHouse: BREAKING: @POTUS will designate the first-ever marine monument in the Atlantic Ocean: https://t.co/t33G5z2QpK https://t.co/‰Û_"
"Obama",1,"We need nine justices for a fully functioning Supreme Court‰ÛÓand editorial boards across the country agree. https://t.co/WD42qmgXpO"
"Obama",0,"RT @cspan: .@RepJohnLewis on #GunViolence: ""The time for silence is over."" https://t.co/zUUX02jNnN"
"Obama",-1,"We can't let Senate leaders ignore their constitutional responsibilities. https://t.co/ExY5wZcWi6 #DoYourJob https://t.co/IwO7CAoVm2"
"Obama",0,"Stay informed. Stay engaged. Speak up. Join the @OFA Truth Team: https://t.co/b0eae4PXDX"
"Obama",0,"The U.S. is on track to hit two million solar installations within the next two years. Momentum is building: https://t.co/dTb4M3J4MY"
"Obama",1,"Time is almost up for Senate leaders to do the right thing and fill the #SCOTUS vacancy. https://t.co/rPbzUkZAUE #DoYourJob"
"Obama",-1,"Median household income: ‰Â  Poverty rate: ‰Â  Uninsured rate: ‰Â   Middle-class economics works. https://t.co/ThPXBSux09"
"Obama",0,"In 2015, we saw the fastest household income growth on record and the largest drop in the poverty rate since 1968. https://t.co/Kyw1vuhont"
"Obama",0,"RT @WhiteHouse: Fastest household income growth on record ‰ÏÒ    Largest drop in poverty rate since 1968 ‰ÏÒ   https://t.co/qK505KUeuP https://‰Û_"
"Obama",1,"The Supreme Court must remain above partisanship. Senate leaders: The time to fill the vacant seat is now. https://t.co/7mmbuXjsPO"
"Obama",0,"ICYMI: This is a really big deal. https://t.co/raNeUV5fRd"
"Obama",-3,"Vice President Biden speaks on the ""dangerous precedent"" Senate leaders are setting by refusing to do their jobs. https://t.co/W1A7Oyb4gB"
"Obama",0,"These are records we can't keep breaking. We must work together to #ActOnClimate. https://t.co/sTxNR10sjK"
"Obama",1,"Meaningful action on climate change can't wait. President Obama explains why in this @nytimes interview. https://t.co/zbaDcpztIW"
"Obama",0,"We need to keep up efforts to fight climate change at every level‰ÛÓlocally, nationally, globally. #ActOnClimate https://t.co/L10qdkgPDg"
"Obama",-1,"RT @FactsOnClimate: BREAKING: A new strategy to harness the power of wind means more jobs, less pollution: https://t.co/s0I0CmalFL https://‰Û_"
"Obama",0,"Senate leaders are back in session. Keep the pressure high‰ÛÓcall out their obstructionism. https://t.co/eThTUbIMH0 #DoYourJob"
